"","DREAD","UNKNO","TRUST","KNsub","KNobj","PROGR","PRISK","PBENE","POLICY"
"dhfec7",-1.12972763362327,-0.957894070699969,1.40956673072974,-0.466692149816105,-1.59737368371024,0.662940001400671,-2.1460247458483,1.36284810198523,2.22778276630309
"ugfeeh",0.423784635806701,1.14556747240415,-1.33143774423808,1.98860611606077,-1.36214070469594,-0.245188543673761,1.05647716265902,-1.42395276365794,-1.35861960414713
"9r8vro",-1.45101545830996,-0.426403570338423,0.95851536143124,1.82214521667929,1.25708876773062,-1.0367745703008,0.484601821854137,0.698781946244376,0.590463402366271
"v3n39p",-0.0206160241420559,-0.686708507837514,1.68713680414421,0.365612347091311,0.157382777035555,0.385419037065322,-1.95539963224668,1.16485485141765,1.16435452984966
"bo29c9",-0.269030328425868,-0.594111010829731,1.40956673072974,0.989840719771872,-0.111754743427475,0.348965774519803,-1.5360243823231,1.60924867770611,0.529429777083053
"cf625j",0.252876264736146,0.227559565431391,0.542160251309545,0.0743057731737143,-0.155806484853628,-0.344802427541311,0.103351594650885,0.67227609772607,0.496175100954876
"vr1f5i",1.19481052136895,-0.277270796063945,-0.637512560701924,-0.633153049197589,-0.514680985789991,0.346729096693682,0.980227117218365,0.538250792364324,-0.564075833288882
"7g9s1q",-1.46954447575234,-0.538497355404315,0.0564126228342344,0.615303696163536,-0.613134085767643,-0.865974848371965,0.370226753693162,0.480781881794371,0.121833564906697
"09kgni",0.717848741160173,1.29924689842333,-0.498727523994692,-1.00769007280593,-0.285289653948953,-0.626812786932894,0.370226753693162,-1.81653839210985,-0.668453546031025
"a8dgiq",-0.647426972207045,-1.87089037853526,0.95851536143124,0.82337982039039,0.303142909181968,1.37800907375777,-1.45977433688245,1.65064200690321,1.67059939192397
"ebgjs5",0.729902050364922,0.846506442551042,-0.949778893293195,-0.591537824352219,-0.302080132881561,-0.508618763786251,1.09460218537934,-0.80607346182821,-1.3088688861085
"q65cl9",0.846694834514473,-1.3649988328505,0.333982696248698,0.82337982039039,-0.319722144161642,-1.10612014961819,1.66647752618422,0.846167872502701,-0.206104228545703
"jnq483",0.624049370663321,0.896800095087674,-0.568120042348308,0.36561234709131,0.0815303730710617,0.0772142737459472,0.0271015492102346,-1.07356798929361,-0.229337385143873
"fppoat",0.714535389997772,0.825119003376617,-1.33143774423808,-0.0921551262077691,-0.0365808875996076,-2.23640674927998,1.28522729898097,-0.227581538685267,-1.03647346398918
"na412s",1.04083157355887,-0.0875289671071006,0.264590177895082,-0.591537824352219,-0.54442354038078,0.877071332853101,1.66647752618422,-0.975277926068325,-1.57328631386788
"35g6fi",0.474794563554289,0.452438117045262,-1.29674148506127,1.11468639430799,-0.843489937647244,0.14432317523722,0.637101912735438,-0.90544803724282,-0.697566561745913
"pj9okn",1.40715846595968,0.0134157141622994,-1.29674148506127,1.40599296822558,-0.572195849385212,-0.316761716130643,1.32335232170129,-1.11797636402483,-1.55439384063992
"ir64lp",0.892171574249321,-0.791773496777985,0.0911088820110424,0.78176459554502,-1.85621832037565,1.1017933020183,-0.0110234735100906,0.131499643798129,-0.483089901461235
"9cmhho",0.326886632298566,1.30967456427845,-1.4008302625917,-0.966074847960556,0.568153268475173,0.595716211740961,1.32335232170129,-1.4275426114066,-1.57328631386788
"jqgg43",0.399819748141002,0.366059460873941,-0.984475152470003,-0.841229173424444,0.0510645995141371,-0.52686863036597,0.0652265719305598,1.03545964137098,-0.135260581055766
"n39cn1",-0.51822547836554,-0.0963566963142277,-0.359942487287461,-1.34061187156889,0.611639561078393,-0.23164195028554,0.255851685532186,0.123691073549982,0.293675050575669
"2062h1",-0.177795185967328,-0.0685412221275196,1.37487047155294,1.98860611606077,1.07376630394562,1.39805727081077,-1.5360243823231,1.18307829030525,1.80259239449644
